config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count
W4_WR0.10_O0.4_RD4_RT6,4,4,0.1,6,100,0.4,1,60,1.3529,0.27,3.52,1236.99,3915.78,3915.78,1159.17,1700.86,1098.75,1938.43,0.53
W4_WR0.15_O0.1_RD4_RT5,4,4,0.15,5,100,0.1,1,60,2.0000,0.34,3.41,1233.92,2770.94,4489.22,1188.86,2105.34,1086.46,2410.49,0.57
W4_WR0.15_O0.1_RD4_RT6,4,4,0.15,6,100,0.1,1,60,2.0000,0.34,3.65,1192.96,2689.02,2740.22,1142.78,1577.98,983.04,2299.90,0.57
W4_WR0.15_O0.2_RD4_RT5,4,4,0.15,5,100,0.2,1,60,1.6087,0.37,3.46,1202.17,2516.99,3858.43,1147.90,1413.12,1033.21,2527.23,0.48
W4_WR0.15_O0.2_RD4_RT6,4,4,0.15,6,100,0.2,1,60,1.6957,0.37,3.27,1158.14,2715.65,2764.80,1121.28,2629.63,1083.39,2545.66,0.57
W4_WR0.15_O0.3_RD4_RT5,4,4,0.15,5,100,0.3,1,60,2.0000,0.34,3.68,1176.58,2709.50,3041.28,1115.13,1856.51,915.97,2318.34,0.57
W4_WR0.15_O0.3_RD4_RT6,4,4,0.15,6,100,0.3,1,60,1.8636,0.36,3.74,1207.30,2973.70,3155.97,1114.11,2365.44,901.63,2414.59,0.59
W4_WR0.15_O0.4_RD4_RT5,4,4,0.15,5,100,0.4,1,60,2.0500,0.32,3.68,1143.81,2537.47,5201.92,1125.38,2439.17,993.28,2244.61,0.45
W4_WR0.15_O0.4_RD4_RT6,4,4,0.15,6,100,0.4,1,60,1.5200,0.40,3.32,1205.25,2779.14,4632.57,1124.35,2781.18,1025.02,2715.65,0.64
W4_WR0.20_O0.1_RD4_RT5,4,4,0.2,5,100,0.1,1,60,2.0741,0.43,3.16,1182.72,3831.81,3844.09,1111.04,1903.62,1036.29,3090.43,0.59
W4_WR0.20_O0.1_RD4_RT6,4,4,0.2,6,100,0.1,1,60,1.8966,0.46,2.90,1232.89,2918.40,3057.66,1216.51,2457.60,1072.13,3106.82,0.59
W4_WR0.20_O0.2_RD4_RT5,4,4,0.2,5,100,0.2,1,60,1.8621,0.48,3.18,1132.54,2863.10,4349.95,1052.67,2414.59,1105.92,3074.05,0.55
W4_WR0.20_O0.2_RD4_RT6,4,4,0.2,6,100,0.2,1,60,1.4118,0.54,2.93,1202.17,3596.29,5672.96,1157.12,4313.09,937.98,3534.85,0.59
W4_WR0.20_O0.3_RD4_RT5,4,4,0.2,5,100,0.3,1,60,1.7000,0.48,2.86,1205.25,3196.93,3977.22,1134.59,3909.63,1231.87,3123.20,0.57
W4_WR0.20_O0.3_RD4_RT6,4,4,0.2,6,100,0.3,1,60,1.6452,0.50,2.75,1184.77,2971.65,3586.05,1101.82,1728.51,1239.04,3514.37,0.58
W4_WR0.20_O0.4_RD4_RT5,4,4,0.2,5,100,0.4,1,60,1.5484,0.50,2.96,1210.37,4161.53,4194.30,1167.36,1421.31,1141.76,3432.45,0.48
W4_WR0.20_O0.4_RD4_RT6,4,4,0.2,6,100,0.4,1,60,1.5938,0.51,3.11,1293.31,3936.26,5525.50,1142.78,1653.76,1016.83,3424.26,0.59
