config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count,total_retry_failures,total_max_retries_exceeded,retry_failure_rate,retry_success_rate
W2_WR0.05_RD3_RT200,2,3,0.05,200,100,0,1,60,0.5000,0.10,3.61,1308.67,1601.54,1601.54,1183.74,1228.80,867.84,1179.65,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD3_RT300,2,3,0.05,300,100,0,1,60,0.5000,0.10,3.63,1339.39,1671.17,1671.17,1305.60,1623.04,864.25,1165.31,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD4_RT100,2,4,0.05,100,100,0,1,60,0.5000,0.10,4.83,1384.45,1793.02,1793.02,1238.02,1511.42,861.18,1182.72,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD4_RT200,2,4,0.05,200,100,0,1,60,0.5000,0.10,4.88,1483.78,2570.24,2570.24,1219.58,1767.42,794.62,1163.26,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD4_RT300,2,4,0.05,300,100,0,1,60,0.5000,0.10,4.81,1474.56,1880.06,1880.06,1231.87,1541.12,860.67,1192.96,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD5_RT100,2,5,0.05,100,100,0,1,60,0.5000,0.10,6.16,1521.66,4648.96,4648.96,1418.24,1584.13,792.06,1164.29,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD5_RT200,2,5,0.05,200,100,0,1,60,0.5000,0.10,5.96,1633.28,2301.95,2301.95,1444.86,1508.35,797.18,1154.05,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD5_RT300,2,5,0.05,300,100,0,1,60,0.6000,0.08,6.31,1681.41,2490.37,2490.37,1125.38,1966.08,675.33,1239.04,0.40,0,0,0.0000,1.0000
W2_WR0.05_RD6_RT100,2,6,0.05,100,100,0,1,60,0.5000,0.10,7.06,1486.85,1991.68,1991.68,1918.97,1944.58,879.10,1234.94,0.50,0,0,0.0000,1.0000
W2_WR0.05_RD6_RT200,2,6,0.05,200,100,0,1,60,0.5000,0.10,7.08,1452.03,1904.64,1904.64,1336.32,1819.65,877.57,1231.87,0.50,0,0,0.0000,1.0000
